tiempo,biomasa,sustrato,oxigeno
0,0.26567,10.0,100.0
4,2.3,9.21,71.1
8,5.5333,8.7,8.0
12,5.6,2.98,2.8
16,5.733,0.0,4.8
20,5.2667,0.0,56.3
24,5.4467,0.0,62.2
48,5.5677,0.0,100.0
72,3.43,0.0,100.0
